SubAgency,Description,Location,Belts,Personal Injury,Property Damage,CommercialLicense,CommercialVehicle,Alcohol,State,Make,Model,Color,ViolationType,Charge,ContributedToAccident,Race,Gender,Driver State,DL State,ArrestType
"4th district, Wheaton",CAUSING STANDING VEH. TO OBSTRUCT FREE VEH. PASSAGE OF ROADWAY,GEORGIA AVE / VEIRS MILL RD,No,No,No,No,No,No,VA,HONDA,CRV,GOLD,Citation,21-1001(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,GREENTREE RD @ SENECA LA,No,No,No,No,No,No,MD,SUBARU,SW,"BLUE, LIGHT",Warning,22-226(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,OLD GEORGETOWN ROAD AT EDSON LANE,No,No,No,No,No,No,MD,VOLKSWAGON,JETTA,BLACK,Warning,13-409(b),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,E GUDE DR @ FREDERICK RD,Yes,No,No,No,No,No,NC,TOYOTA,SUV,TAN,Citation,21-202(i1),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,WB RT 28 AT FIRESTONE DRIVE,No,No,No,No,No,No,MD,TOYOTA,T100,"GREEN, LGT",Warning,21-801.1,No,HISPANIC,M,MD,MD,G - Marked Moving Radar (Stationary)
"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,WOODFIELD RD AT MAIN ST  S/B,No,No,No,No,No,No,MD,JEEP,CHEROKEE LAREDO,RED,Citation,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH. DAMAGE ACCIDENT,FLORAL ST/DALEWOOD DR,No,No,No,No,No,No,MD,TOYOTA,CAMRY,BLACK,Citation,20-105(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,RANDOLPH RD AT SELFRIDGE RD,No,No,No,No,No,No,MD,ACURA,TL,GRAY,Warning,21-202(h1),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,DARNESTOWN RD /MAIN ST,No,No,No,No,No,No,MD,TOYOTA,PRIUS,ORANGE,Warning,23-104,No,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,CLOPPER RD E/B @ ORCHARD HILLS DR,No,No,No,No,No,No,MD,TOYOTA,TUNDRA,GRAY,Warning,21-801.1,No,ASIAN,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,IRIS/GRENOBLE,No,No,No,No,No,No,MD,VOLV,4S,SILVER,Warning,22-226(a),No,HISPANIC,F,MD,MD,A - Marked Patrol
"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,NORBECK RD. AND BAUER DR.,No,No,No,No,No,No,MD,BMW,328I,WHITE,Warning,13-411(f),No,ASIAN,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",POSSESSING SUSPENDED LIC.,EAST WEST HWY / ELLINGSON,No,No,No,No,No,No,MD,TOYOTA,COROLLA,BLACK,Citation,16-301(j),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,FATHER HURLEY @ MIDDLEBROOK ROAD,No,No,No,No,No,No,MD,BMW,325I,SILVER,Warning,13-401(h),No,ASIAN,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,355 @ PROFESSIONAL,No,No,No,No,No,No,MD,MERZ,E320,SILVER,Warning,16-116(a),No,BLACK,F,MD,MD,A - Marked Patrol
"5th district, Germantown",TRAILER W/O REQUIRED STOP LAMPS EQUIPMENT,LAYTONSVILLE RD AND RT 650,No,No,No,No,No,No,MD,CHEVY,TRUCK,GREEN,Citation,22-206(a),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",UNSAFE BACKING OF MOTOR VEH.,3600 PEAR TREE COURT (PARKING LOT),No,No,Yes,No,No,No,MD,FORD,CROWN VIC,WHITE,Citation,21-1102(a),Yes,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WAYNE AVENUE E/B @ DALE DRIVE,No,No,No,No,No,No,MD,DODGE,CHARGER,BLACK,Warning,21-204(b),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,1022 ROCKVILLE PIKE,No,No,No,No,No,No,MD,TOYOTA,CAMRY,BLUE,Warning,13-409(b),No,ASIAN,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER TURNING VEH. WITHOUT GIVING ADEQUATE SIGNAL,CALVERTON BLVD AT GRACEFIELD RD,No,No,No,No,No,No,MD,KIA,SEDONA,WHITE,Warning,21-604(c),No,HISPANIC,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,MIDCOUNTY HWY/PIER POINT PL,No,No,No,No,No,No,MD,HONDA,CRV,GOLD,Warning,21-1124.2(d2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",OPERATOR NOT RESTRAINED BY SEATBELT,UNIVERSITY BLVD E/COLESVILLE RD,No,No,No,No,No,No,PA,CHEVROLET,IMPALA,SILVER,Citation,22-412.3(b),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,RIDGE RD / BRINK RD,No,No,No,No,No,No,MD,CHRY,4S,SILVER,Citation,21-801.1,No,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SNOUFFER SCHOOL AT FLOWER HILL WAY,No,No,No,No,No,No,MD,PONT,4S,BLACK,Warning,21-201(a1),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,WOODFIELD RD/FLOWER HILL RD S/B,No,No,No,No,No,No,MD,TOYOTA,4DR,GOLD,Citation,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",EXCEEDING MAXIMUM SPEED: 50 MPH IN A POSTED 30 MPH ZONE,WB RT 198 EO SANTINI RD,No,No,No,No,No,No,MD,NISS,4S,BLACK,Citation,21-801.1,No,BLACK,M,MD,MD,Q - Marked Laser
"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,ROCKVILLE PIKE X EDSON LA,No,No,No,No,No,No,MD,HOND,4S,GRAY,Citation,16-101(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,MONTGOMERY VILLAGE AVE @ MIDCOUNTY HWY,No,No,Yes,No,No,No,MD,TOYOTA,CELICA,SILVER,Citation,21-902(a1),Yes,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,CONNECTICUT AT LELAND,No,No,No,No,No,No,MD,VOLV,TK,"BLUE, LIGHT",Warning,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WISTERIA DR @ FATHER HURLEY BLVD,No,No,No,No,No,No,MD,TOYOTA,COROLLA,GOLD,Citation,21-204(b),No,WHITE,F,MD,PA,A - Marked Patrol
"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,GEORGIA AVE NB/ I-495 RAMP IL,No,No,No,No,No,No,DC,VOLKSWAGON,PASSAT,GRAY,Citation,21-1124.2(d2),No,WHITE,M,DC,DC,L - Motorcycle
"5th district, Germantown",OPERATE MOTORCYCLE W/O EYE PROTECTION,LOCBURY DR. AT FALLING WATER CIR.,No,No,No,No,No,No,MD,SSR,DIRTBIKE-SR125,WHITE,Citation,21-1306(c),No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100' OF TRAVEL BEFORE TURNING,GALT AVE/FENIMORE RD,No,No,No,No,No,No,MD,HONDA,CIVIC,BLACK,Warning,21-604(d),No,OTHER,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,VEIRS MILL / ASPEN HILL,No,No,No,No,No,No,MD,TOYOTA,CAMRY,TAN,Warning,13-411(a),No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",POSSESSING SUSPENDED LIC.,N/B GEORGIA AVE @ GLENALLAN AVE,No,No,No,No,No,No,MD,VW,CC,SILVER,Citation,16-301(j),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 30,LAYHILL/BRIGGS,No,No,No,No,No,No,MD,NISSAN,MAXIMA,GRAY,Warning,21-801(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,WOODFIELD RD @ EMORY GROVE RD,No,No,No,No,No,No,MD,HYUN,4S,RED,Citation,21-801.1,No,ASIAN,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,VEIRS MILL RD/GEORGIA AVE,No,No,No,No,No,No,MD,NISSASN,ALTIMA,SILVER,Warning,21-201(a1),No,OTHER,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,RT 270 SOUTH OF RT 121 CLARKSBURG,No,No,No,No,No,No,MD,HONDA,PILOT,GRAY,Citation,21-801.1,No,OTHER,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",VEH. FAILURE TO DISPLAY & REFLECT AMBER COLOR LIGHT ON LAMPS & REFLECTORS AS REQ.,ARLISS ST @ PINEY BRANCH RD,No,No,No,No,No,No,MD,HONDA,CIVIC,WHITE,Warning,22-209(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,NB GEORGIA AVENUE / CAMERON STREET,No,No,No,Yes,No,No,VA,TOYT,TACOMA,BLUE,Warning,22-226(a),No,BLACK,M,VA,VA,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,MACARTHUR AND WALHONDING,No,No,No,No,No,No,VA,TOY,SUV,BEIGE,Warning,21-801.1,No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE W/O SEAT BELT RESTRAINT,DAWSON AVE AND BYRON ST,No,No,No,No,No,No,MD,MITSU,2D,SILVER,Warning,22-412.3(c2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,13864 OLD COLUMBIA PIKE,No,No,No,No,No,No,MD,CHEVROLET,TRACKER,BLACK,Citation,21-1104(c),No,BLACK,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,124 @ EMORY GROVE,No,No,No,Yes,No,No,MD,NISSAN,QUEST,SILVER,Warning,22-209(b),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,GOOD HOPE RD/ NEW HAMPSHIRE AVE,Yes,No,No,No,No,No,FL,CHEVROLET,IMPALA,BLACK,Warning,21-304(c),No,BLACK,M,TN,TN,A - Marked Patrol
"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ALDERWOOD AND RT 28,No,No,No,No,No,No,MD,HONDA,CIVIC,BLACK,Warning,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",OLD COLUMBIA PIKE AT HIDDEN VALLEY DR,No,No,No,No,No,No,MD,TOYOTA,AVALON,WHITE,Citation,16-303(h),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 55,NORWOOD RD/LAHILL RD,No,No,No,No,No,No,MD,TOYOTA,COROLLA,RED,Warning,21-801(a),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE YIELD RIGHT OF WAY ON LEFT TURN,LAYHILL @BEL PRE,No,No,No,No,No,No,MD,KIA,OPTIMA,WHITE,Citation,21-402(a),Yes,WHITE,F,NC,NC,A - Marked Patrol
"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,CARROL/PINEY BRANCH,No,No,No,No,No,No,MD,TOYOTA,SPYDER,SILVER,Citation,16-101(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,GEORGIA AVE / HEATHFIELD RD,No,No,No,No,No,No,MD,SUBA,SW,SILVER,Warning,21-801.1,No,OTHER,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,SHADY GROVE RD AND CRABBS BRANCH WAY,No,No,No,No,No,No,MD,TOYT,4S,GRAY,Citation,16-303(d),No,WHITE,F,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 57 MPH IN A POSTED 40 MPH ZONE,MD 118 @ DAWSON FARM RD,No,No,No,No,No,No,MD,MAZDA,CX-7,GRAY,Citation,21-801.1,No,ASIAN,M,MD,MD,Q - Marked Laser
"5th district, Germantown",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,FATHER HURLEY BLVD @ WATERS LANDING DR,No,No,No,No,No,No,MD,JEEP,CHEROKEE,BROWN,Citation,13-703(g),No,BLACK,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",MOTOR VEH. EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,MONTGOMERY VILLAGE AVE  / CENTERWAY RD,No,No,No,No,No,No,MD,HOND,2S,PURPLE,Citation,22-609(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,MACARTHUR ABLVD @ ANCHORAGE DR,No,No,No,No,No,No,MD,VOLKS,4S,GRAY,Warning,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",UNIVERSITY BLVD W  @  COLESVILLE RD,Yes,No,Yes,No,No,No,AL,DODGE,CHALLENGER,PURPLE,Citation,16-303(h),No,WHITE,M,MD,AL,A - Marked Patrol
"1st district, Rockville",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,DARNESTOWN RD @ WOODSTOCK EQUESTRIAN PK,Yes,No,No,No,No,No,DC,BMW,650I,BLACK,Citation,21-801(a),No,BLACK,M,WV,WV,L - Motorcycle
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,370 WB / 270,No,No,No,No,No,No,MD,TOYOTA,SIENNA,SILVER,Citation,21-801.1,No,HISPANIC,M,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",FAILURE TO PROPERLY MAINTAIN AND FASTEN VEHICLE REGISTRATION PLATE IN VISIBLE POSITION,CENTERWAY DRIVE AT CLUBHOUSE DRIVE,No,No,No,No,No,No,VA,MAZDA,PICKUP,BLACK,Citation,13-411(c),No,WHITE,M,VA,VA,A - Marked Patrol
"4th district, Wheaton",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,16800 GEORGIA AVE,No,No,No,No,No,No,MD,MERCURY,GRAND MARQUIS,BLACK,Warning,22-406(i1),No,WHITE,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,QUINCE ORCHARD RD. @ RT. 270,No,No,No,No,No,No,MD,JEEP,TK,BLUE,Warning,23-104,No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN,GEORGIA AVE/GEORGIAN WOODS PL,No,No,No,No,No,No,MD,GMC,SAFFARI,WHITE,Warning,21-605(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,124/108,No,No,No,No,No,No,MD,FORD,E350,BLUE,Citation,21-1124.2(d2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,PARKING GARAGE 57 4841 BETHEDA AVE,No,No,No,No,No,No,MD,MERC,C300,BLACK,Citation,22-412.3(c2),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,VEIRS MILL RD/ CLARIDGE RD,No,No,No,No,No,No,MD,NISS,4S,BLACK,Citation,21-1124.2(d2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,10201 NEW HAMPSHIRE AVE,No,No,No,No,No,No,MD,HONDA,ACCORD,WHITE,Citation,21-902(b1),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,NORTH BOUND COLESVILLE RD AT 495,No,No,No,No,No,No,MD,HOND,ACCORD,GRAY,Warning,21-310(a),No,ASIAN,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,270 @ OLD GEORGETOWN RD,No,No,No,No,No,No,MD,HONDA,CIVIC,RED,Citation,21-801.1,No,HISPANIC,M,KS,KS,J - Unmarked Moving Radar (Moving)
"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ AUBURN AV,No,No,No,No,No,No,MD,HOND,PILOT,GRAY,Citation,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"1st district, Rockville",BRAKE  HOSE CONNECTIONS ARE LEAKING,SHADY GROVE RD @ OAKMONT AVE,No,No,No,No,Yes,No,DE,MACK,ROLL ON OFF,BLACK,Warning,11-393.46(a),No,BLACK,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,OPERATOR NOT RESTRAINED BY SEATBELT,NEW HAMPSHIRE AVE AND LOCKWOOD DR,No,No,No,No,No,No,VA,DODGE,AVENGER,GRAY,Warning,22-412.3(b),No,BLACK,M,MD,MD,B - Unmarked Patrol
"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,W/B IS 370 @ IS 270,No,No,No,No,No,No,MD,CADILLAC,DEVILLE,GRAY,Citation,16-303(c),No,WHITE,M,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,STEDWICK@MVA,No,No,No,No,No,No,DE,FORD,FUSION,GRAY,Citation,13-411(f),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,CLARKSBURG ROAD @ GATEWAY CENTER DRIVE,No,No,No,No,No,No,MD,HOND,TK,MAROON,Citation,21-707(a),No,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,CHRISTOPHER AVE AT RUSSELL AVE.,No,No,No,No,No,No,MD,NISSAN,LEAF,MAROON,Warning,13-409(b),No,OTHER,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,2300 BLK RANDOLPH RD,No,No,No,No,No,No,MD,HONDA,ACCORD,SILVER,Warning,13-409(b),No,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",CAUSING STANDING VEH. TO OBSTRUCT FREE VEH. PASSAGE OF ROADWAY,SAM EIG HWY @ FIELDS RD,No,No,No,No,No,No,MD,HONDA,4D,BRONZE,Citation,21-1001(b),No,ASIAN,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,GRANDVIEW AVE/ RANDOLPH RD,No,No,No,No,No,No,MD,TOYOTA,VONVIRTABLE,RED,Citation,21-801(a),No,ASIAN,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",LN 2 SB 355 @ PROFESSIONAL DR,No,No,No,No,No,No,MD,KIA,TK,BROWN,Citation,16-303(h),No,OTHER,F,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,COLUMBIA PK / SANDY SPRING RD,No,No,No,No,No,No,MD,SUBA,SW,GRAY,Warning,21-405(e1),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ARLINGTON RD / OLD GEORGETOWN RD,No,Yes,No,No,No,No,MD,HOND,CIV 4S,BLUE,Citation,21-201(a1),Yes,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,WB SHADY GROVE METRO EXIT @ 370,No,No,No,No,No,No,MD,HOND,SUV,SILVER,Warning,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SHADY GROVE ROAD / KEY WEST AVENUE,No,No,No,No,No,No,VA,BMW,X3,BLACK,Citation,21-201(a1),Yes,WHITE,M,VA,VA,A - Marked Patrol
"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,EB EMORY LANE/ CASHELL RD,No,No,No,No,No,No,MD,CADILLAC,4DR,"BLUE, DARK",Citation,13-401(h),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,NEW HAMPSHIRE @ LOCKWOOD DR,No,No,No,No,No,No,MD,TOYT,CAMRY,SILVER,Warning,21-1124.2(d2),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",GEORGIA AVE / BEL PRE RD,No,No,No,No,No,No,MD,DODGE,DURANGO,SILVER,Citation,16-303(h),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,COLESVILLE RD @ TOMS DR,No,No,No,No,No,No,MD,DODGE,MAGNUM,"BLUE, DARK",Warning,21-202(h1),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,HAWKINS CREAMERY RD AT POCAHONTAS DR,No,No,No,No,No,No,MD,JEEP,WRANGLER,WHITE,Warning,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,355 @ POOKS HILL RD,No,No,No,No,No,No,DC,TOYOTA,CAMRY,RED,Warning,21-801.1,No,BLACK,F,DC,DC,H - Unmarked Moving Radar (Stationary)
Headquarters and Special Operations,"DRIVING VEHW/ TV-TYPE RECEIVING EQUIP, VIDEO DISPEQUIP THAT IS ON AND VISIBLE TO THE DRIVER ON HWY",I270/ FALLS RD,No,No,No,No,No,No,MD,TOYO,COROLLA,SILVER,Citation,21-1129,No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,COLESVILLE RD AT BURNT MILLS,No,No,No,No,No,No,MD,HONDA,ACCORD,BLACK,Warning,13-411(c1),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",PERSON DRIVING MOTOR VEH. ON HWY ON SUSPENDED LIC. AND PRIVILEGE,OLD GEORGETOWN RD / TUCKERMAN LN,No,No,No,No,No,No,MD,FORD,F150,BLACK,Citation,16-303(c),No,HISPANIC,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SHADY GROVE RD/CRABBS BRANCH WAY,No,No,No,No,No,No,MD,TOYT,4S,BLACK,Citation,21-201(a1),No,BLACK,F,MD,MD,A - Marked Patrol
